2015-07-14 17:33:11.854877,  ON ,  38
2015-07-14 17:33:13.899994,  ON ,  38
2015-07-14 17:33:15.935804,  ON ,  39
2015-07-14 17:33:17.996700,  ON ,  38
2015-07-14 17:33:20.032463,  ON ,  37
2015-07-14 17:33:22.093411,  ON ,  38
2015-07-14 17:33:24.139692,  ON ,  38
2015-07-14 17:33:26.175723,  ON ,  37
2015-07-14 17:33:28.237823,  ON ,  37
2015-07-14 17:33:30.277111,  ON ,  36
2015-07-14 17:33:32.333048,  ON ,  37
2015-07-14 17:33:34.378901,  ON ,  37
2015-07-14 17:33:36.431905,  ON ,  38
2015-07-14 17:33:38.477663,  ON ,  37
2015-07-14 17:33:40.532863,  ON ,  38
2015-07-14 17:33:42.574517,  ON ,  37
2015-07-14 17:33:44.620386,  ON ,  37
2015-07-14 17:33:46.671502,  ON ,  35
2015-07-14 17:33:48.732665,  ON ,  37
2015-07-14 17:33:50.777149,  ON ,  36
2015-07-14 17:33:52.838156,  ON ,  36
2015-07-14 17:33:54.872936,  ON ,  38
2015-07-14 17:33:56.929861,  ON ,  36
2015-07-14 17:33:58.971737,  ON ,  37
2015-07-14 17:34:01.018717,  ON ,  36
2015-07-14 17:34:03.063740,  ON ,  36
2015-07-14 17:34:05.099599,  ON ,  40
2015-07-14 17:34:07.135822,  ON ,  36
2015-07-14 17:34:09.197383,  ON ,  35
2015-07-14 17:34:13.295149,  ON ,  37
2015-07-14 17:34:17.391871,  ON ,  37
2015-07-14 17:34:19.439087,  ON ,  36
2015-07-14 17:34:21.483830,  ON ,  36
2015-07-14 17:34:23.521076,  ON ,  37
2015-07-14 17:34:27.621701,  ON ,  36
2015-07-14 17:34:29.658509,  ON ,  36
2015-07-14 17:34:31.714474,  ON ,  36
2015-07-14 17:34:35.811486,  ON ,  36
2015-07-14 17:34:37.862121,  ON ,  35
2015-07-14 17:34:39.899385,  ON ,  36
2015-07-14 17:34:41.939953,  ON ,  35
2015-07-14 17:34:44.000885,  ON ,  37
2015-07-14 17:34:46.036702,  ON ,  37
2015-07-14 17:34:48.097858,  ON ,  36
2015-07-14 17:34:50.138597,  ON ,  36
2015-07-14 17:34:52.181493,  ON ,  35
2015-07-14 17:34:54.235186,  ON ,  35
2015-07-14 17:34:58.337298,  ON ,  35
2015-07-14 17:35:00.375043,  ON ,  34
2015-07-14 17:35:02.437980,  ON ,  36
2015-07-14 17:35:06.520885,  ON ,  36
2015-07-14 17:35:08.582876,  ON ,  35
2015-07-14 17:35:10.622707,  ON ,  35
2015-07-14 17:35:12.660623,  ON ,  35
2015-07-14 17:35:14.697741,  ON ,  35
2015-07-14 17:35:16.743502,  ON ,  35
2015-07-14 17:35:18.778428,  ON ,  36
2015-07-14 17:35:20.841550,  ON ,  35
2015-07-14 17:35:22.881196,  ON ,  35
2015-07-14 17:35:24.918251,  ON ,  34
2015-07-14 17:35:26.954445,  ON ,  35
2015-07-14 17:35:28.995536,  ON ,  37
2015-07-14 17:35:31.040877,  ON ,  35
2015-07-14 17:35:33.077737,  ON ,  35
2015-07-14 17:35:35.123967,  ON ,  36
2015-07-14 17:35:37.184611,  ON ,  36
2015-07-14 17:35:39.221500,  ON ,  34
2015-07-14 17:35:41.281491,  ON ,  34
2015-07-14 17:35:43.318354,  ON ,  34
2015-07-14 17:35:45.377251,  ON ,  36
2015-07-14 17:35:47.415110,  ON ,  36
2015-07-14 17:35:49.464938,  ON ,  35
2015-07-14 17:35:51.501975,  ON ,  35
2015-07-14 17:35:55.594947,  ON ,  35
2015-07-14 17:35:57.642167,  ON ,  34
2015-07-14 17:35:59.690612,  ON ,  35
2015-07-14 17:36:03.798063,  ON ,  34
2015-07-14 17:36:05.843413,  ON ,  34
2015-07-14 17:36:07.894514,  ON ,  34
2015-07-14 17:36:09.954199,  ON ,  34
2015-07-14 17:36:12.000201,  ON ,  34
2015-07-14 17:36:14.035570,  ON ,  34
2015-07-14 17:36:16.096934,  ON ,  36
2015-07-14 17:36:18.133068,  ON ,  35
2015-07-14 17:36:20.170373,  ON ,  36
2015-07-14 17:36:22.220909,  ON ,  38
2015-07-14 17:36:24.257965,  ON ,  34
2015-07-14 17:36:26.314360,  ON ,  35
2015-07-14 17:36:30.410502,  ON ,  34
2015-07-14 17:36:32.455424,  ON ,  38
2015-07-14 17:36:34.492141,  ON ,  34
2015-07-14 17:36:36.542054,  ON ,  35
2015-07-14 17:36:38.579089,  ON ,  34
2015-07-14 17:36:40.614916,  ON ,  34
2015-07-14 17:36:42.658098,  ON ,  34
2015-07-14 17:36:44.694006,  ON ,  34
2015-07-14 17:36:46.753686,  ON ,  34
2015-07-14 17:36:48.790518,  ON ,  34
2015-07-14 17:36:50.841469,  ON ,  36
2015-07-14 17:36:52.877387,  ON ,  35
2015-07-14 17:36:54.914337,  ON ,  34
